pclass,survived,sex,age,sibsp,parch,fare,boat,body,embarked_Q,embarked_S
1,1,0,22.0,0,0,151.55,11.0,155.0,False,True
1,0,1,28.0,0,0,52.0,10.0,155.0,False,True
1,0,1,47.0,0,0,25.5875,10.0,155.0,False,True
1,1,0,39.0,1,1,83.1583,14.0,155.0,False,False
1,0,1,37.0,1,1,83.1583,10.0,155.0,False,False
1,1,0,64.0,0,2,83.1583,14.0,155.0,False,False
1,1,0,55.0,2,0,25.7,2.0,155.0,False,True
1,0,1,28.0,0,0,26.55,10.0,155.0,False,True
1,0,1,70.0,1,1,71.0,10.0,269.0,False,True
1,1,0,36.0,0,2,71.0,7.0,155.0,False,True
1,1,0,64.0,1,1,26.55,7.0,155.0,False,True
1,0,1,39.0,1,0,71.2833,10.0,155.0,False,False
1,1,0,38.0,1,0,71.2833,4.0,155.0,False,False
1,1,1,51.0,0,0,26.55,10.0,155.0,False,True
1,1,1,27.0,0,0,30.5,3.0,155.0,False,True
1,1,0,33.0,0,0,151.55,8.0,155.0,False,True
1,0,1,31.0,1,0,52.0,10.0,155.0,False,True
1,1,0,27.0,1,2,52.0,3.0,155.0,False,True
1,1,1,31.0,1,0,57.0,3.0,155.0,False,True
1,1,0,17.0,1,0,57.0,3.0,155.0,False,True
1,1,1,53.0,1,1,81.8583,13.0,155.0,False,True
1,1,1,4.0,0,2,81.8583,5.0,155.0,False,True
1,1,0,54.0,1,1,81.8583,5.0,155.0,False,True
1,0,1,50.0,1,0,106.425,10.0,62.0,False,False
1,1,0,27.0,1,1,247.5208,6.0,155.0,False,False
1,1,0,48.0,1,0,106.425,2.0,155.0,False,False
1,1,0,48.0,1,0,39.6,1.0,155.0,False,False
1,1,1,49.0,1,0,56.9292,1.0,155.0,False,False
1,0,1,39.0,0,0,29.7,10.0,133.0,False,False
1,1,0,23.0,0,1,83.1583,7.0,155.0,False,False
1,1,0,38.0,0,0,227.525,4.0,155.0,False,False
1,1,0,54.0,1,0,78.2667,4.0,155.0,False,False
1,0,0,36.0,0,0,31.6792,10.0,155.0,False,False
1,0,1,28.0,0,0,221.7792,10.0,155.0,False,True
1,1,0,28.0,0,0,31.6833,7.0,155.0,False,True
1,1,0,28.0,0,0,110.8833,4.0,155.0,False,False
1,1,1,36.0,0,0,26.3875,5.0,155.0,False,True
1,0,1,30.0,0,0,27.75,10.0,155.0,False,False
1,1,0,24.0,3,2,263.0,10.0,155.0,False,True
1,1,0,28.0,3,2,263.0,10.0,155.0,False,True
1,1,0,23.0,3,2,263.0,10.0,155.0,False,True
1,0,1,19.0,3,2,263.0,10.0,155.0,False,True
1,0,1,64.0,1,4,263.0,10.0,155.0,False,True
1,1,0,60.0,1,4,263.0,10.0,155.0,False,True
1,1,0,30.0,0,0,56.9292,1.0,155.0,False,False
1,0,1,28.0,0,0,26.55,10.0,155.0,False,True
1,1,1,50.0,2,0,133.65,5.0,155.0,False,True
1,1,1,43.0,1,0,27.7208,5.0,155.0,False,False
1,1,0,28.0,1,0,133.65,5.0,155.0,False,True
1,1,0,22.0,0,2,49.5,5.0,155.0,False,False
1,1,1,60.0,1,1,79.2,5.0,155.0,False,False
1,1,0,48.0,1,1,79.2,5.0,155.0,False,False
1,0,1,28.0,0,0,0.0,10.0,155.0,False,True
1,0,1,37.0,1,0,53.1,10.0,155.0,False,True
1,1,0,35.0,1,0,53.1,10.0,155.0,False,True
1,0,1,47.0,0,0,38.5,10.0,275.0,False,True
1,1,0,35.0,0,0,211.5,4.0,155.0,False,False
1,1,0,22.0,0,1,59.4,7.0,155.0,False,False
1,1,0,45.0,0,1,59.4,7.0,155.0,False,False
1,0,1,24.0,0,0,79.2,10.0,155.0,False,False
1,1,1,49.0,1,0,89.1042,5.0,155.0,False,False
1,1,0,28.0,1,0,89.1042,5.0,155.0,False,False
1,0,1,71.0,0,0,34.6542,10.0,155.0,False,False
1,1,1,53.0,0,0,28.5,10.0,155.0,False,False
1,1,0,19.0,0,0,30.0,3.0,155.0,False,True
1,0,1,38.0,0,1,153.4625,10.0,147.0,False,True
1,1,0,58.0,0,1,153.4625,3.0,155.0,False,True
1,1,1,23.0,0,1,63.3583,7.0,155.0,False,False
1,1,0,45.0,0,1,63.3583,7.0,155.0,False,False
1,0,1,46.0,0,0,79.2,10.0,155.0,False,False
1,1,1,25.0,1,0,55.4417,5.0,155.0,False,False
1,1,0,25.0,1,0,55.4417,5.0,155.0,False,False
1,1,1,48.0,1,0,76.7292,3.0,155.0,False,False
1,1,0,49.0,1,0,76.7292,3.0,155.0,False,False
1,0,1,28.0,0,0,42.4,10.0,155.0,False,True
1,0,1,45.0,1,0,83.475,10.0,155.0,False,True
1,1,0,35.0,1,0,83.475,10.0,155.0,False,True
1,0,1,40.0,0,0,0.0,10.0,110.0,False,True
1,1,1,27.0,0,0,76.7292,3.0,155.0,False,False
1,1,1,28.0,0,0,30.0,3.0,155.0,False,True
1,1,0,24.0,0,0,83.1583,7.0,155.0,False,False
1,0,1,55.0,1,1,93.5,10.0,307.0,False,True
1,1,0,52.0,1,1,93.5,3.0,155.0,False,True
1,0,1,42.0,0,0,42.5,10.0,155.0,False,True
1,0,1,28.0,0,0,51.8625,10.0,155.0,False,True
1,0,1,55.0,0,0,50.0,10.0,155.0,False,True
1,1,0,16.0,0,1,57.9792,4.0,155.0,False,False
1,1,0,44.0,0,1,57.9792,4.0,155.0,False,False
1,1,0,51.0,1,0,77.9583,10.0,155.0,False,True
1,0,1,42.0,1,0,52.0,10.0,38.0,False,True
1,1,0,35.0,1,0,52.0,8.0,155.0,False,True
1,1,1,35.0,0,0,26.55,15.0,155.0,False,False
1,1,1,38.0,1,0,90.0,10.0,155.0,False,True
1,0,1,28.0,0,0,30.6958,14.0,155.0,False,False
1,1,0,35.0,1,0,90.0,10.0,155.0,False,True
1,1,0,38.0,0,0,80.0,6.0,155.0,False,False
1,0,0,50.0,0,0,28.7125,10.0,155.0,False,False
1,1,1,49.0,0,0,0.0,10.0,155.0,False,True
1,0,1,46.0,0,0,26.0,10.0,80.0,False,True
1,0,1,50.0,0,0,26.0,10.0,155.0,False,True
1,0,1,32.5,0,0,211.5,10.0,45.0,False,False
1,0,1,58.0,0,0,29.7,10.0,258.0,False,False
1,0,1,41.0,1,0,51.8625,10.0,155.0,False,True
1,1,0,28.0,1,0,51.8625,8.0,155.0,False,True
1,1,1,42.0,1,0,52.5542,5.0,155.0,False,True
1,1,0,45.0,1,0,52.5542,5.0,155.0,False,True
1,0,1,28.0,0,0,26.55,10.0,155.0,False,True
1,1,0,39.0,0,0,211.3375,2.0,155.0,False,True
1,1,0,49.0,0,0,25.9292,8.0,155.0,False,True
1,1,0,30.0,0,0,106.425,2.0,155.0,False,False
1,1,1,35.0,0,0,512.3292,3.0,155.0,False,False
1,0,1,28.0,0,0,27.7208,10.0,155.0,False,False
1,0,1,42.0,0,0,26.55,10.0,155.0,False,True
1,1,0,55.0,0,0,27.7208,6.0,155.0,False,False
1,1,0,16.0,0,1,39.4,9.0,155.0,False,True
1,1,0,51.0,0,1,39.4,9.0,155.0,False,True
1,0,1,29.0,0,0,30.0,10.0,126.0,False,True
1,1,0,21.0,0,0,77.9583,10.0,155.0,False,True
1,0,1,30.0,0,0,45.5,10.0,155.0,False,True
1,1,0,58.0,0,0,146.5208,10.0,155.0,False,False
1,1,0,15.0,0,1,211.3375,2.0,155.0,False,True
1,0,1,30.0,0,0,26.0,10.0,155.0,False,True
1,1,0,16.0,0,0,86.5,8.0,155.0,False,True
1,1,1,28.0,0,0,29.7,7.0,155.0,False,False
1,0,1,19.0,1,0,53.1,10.0,155.0,False,True
1,1,0,18.0,1,0,53.1,10.0,155.0,False,True
1,1,0,24.0,0,0,49.5042,6.0,155.0,False,False
1,0,1,46.0,0,0,75.2417,10.0,292.0,False,False
1,0,1,54.0,0,0,51.8625,10.0,175.0,False,True
1,1,1,36.0,0,0,26.2875,7.0,155.0,False,True
1,0,1,28.0,1,0,82.1708,10.0,155.0,False,False
1,1,0,28.0,1,0,82.1708,6.0,155.0,False,False
1,0,1,65.0,0,0,26.55,10.0,249.0,False,True
1,0,1,44.0,2,0,90.0,10.0,230.0,True,False
1,1,0,33.0,1,0,90.0,14.0,155.0,True,False
1,1,0,37.0,1,0,90.0,14.0,155.0,True,False
1,1,1,30.0,1,0,57.75,11.0,155.0,False,False
1,0,1,55.0,0,0,30.5,10.0,155.0,False,True
1,0,1,47.0,0,0,42.4,10.0,155.0,False,True
1,0,1,37.0,0,1,29.7,10.0,155.0,False,False
1,1,0,31.0,1,0,113.275,6.0,155.0,False,False
1,1,0,23.0,1,0,113.275,6.0,155.0,False,False
1,0,1,58.0,0,2,113.275,10.0,122.0,False,False
1,1,0,19.0,0,2,26.2833,5.0,155.0,False,True
1,0,1,64.0,0,0,26.0,10.0,263.0,False,True
1,1,0,39.0,0,0,108.9,8.0,155.0,False,False
1,1,1,28.0,0,0,25.7417,7.0,155.0,False,False
1,1,0,22.0,0,1,61.9792,5.0,155.0,False,False
1,0,1,65.0,0,1,61.9792,10.0,234.0,False,False
1,0,1,28.5,0,0,27.7208,10.0,189.0,False,False
1,0,1,28.0,0,0,0.0,10.0,155.0,False,True
1,0,1,45.5,0,0,28.5,10.0,166.0,False,True
1,0,1,23.0,0,0,93.5,10.0,155.0,False,True
1,0,1,29.0,1,0,66.6,10.0,155.0,False,True
1,1,0,22.0,1,0,66.6,8.0,155.0,False,True
1,0,1,18.0,1,0,108.9,10.0,155.0,False,False
1,1,0,17.0,1,0,108.9,8.0,155.0,False,False
1,1,0,30.0,0,0,93.5,3.0,155.0,False,True
1,1,1,52.0,0,0,30.5,6.0,155.0,False,True
1,0,1,47.0,0,0,52.0,10.0,207.0,False,True
1,1,0,56.0,0,1,83.1583,7.0,155.0,False,False
1,0,1,38.0,0,0,0.0,10.0,155.0,False,True
1,1,1,28.0,0,0,39.6,10.0,155.0,False,True
1,0,1,22.0,0,0,135.6333,10.0,232.0,False,False
1,0,1,28.0,0,0,227.525,10.0,155.0,False,False
1,1,0,43.0,0,1,211.3375,2.0,155.0,False,True
1,0,1,31.0,0,0,50.4958,10.0,155.0,False,True
1,1,1,45.0,0,0,26.55,9.0,155.0,False,True
1,0,1,28.0,0,0,50.0,10.0,155.0,False,True
1,1,0,33.0,0,0,27.7208,11.0,155.0,False,False
1,0,1,46.0,0,0,79.2,10.0,16.0,False,False
1,0,1,36.0,0,0,40.125,10.0,155.0,False,False
1,1,0,33.0,0,0,86.5,8.0,155.0,False,True
1,0,1,55.0,1,0,59.4,10.0,155.0,False,False
1,1,0,54.0,1,0,59.4,6.0,155.0,False,False
1,0,1,33.0,0,0,26.55,10.0,109.0,False,True
1,1,1,13.0,2,2,262.375,4.0,155.0,False,False
1,1,0,18.0,2,2,262.375,4.0,155.0,False,False
1,1,0,21.0,2,2,262.375,4.0,155.0,False,False
1,0,1,61.0,1,3,262.375,10.0,155.0,False,False
1,1,0,48.0,1,3,262.375,4.0,155.0,False,False
1,1,1,28.0,0,0,30.5,3.0,155.0,False,True
1,1,0,24.0,0,0,69.3,9.0,155.0,False,False
1,1,1,28.0,0,0,26.0,1.0,155.0,False,True
1,1,0,35.0,1,0,57.75,11.0,155.0,False,False
1,1,0,30.0,0,0,31.0,4.0,155.0,False,False
1,1,1,34.0,0,0,26.55,7.0,155.0,False,True
1,1,0,40.0,0,0,153.4625,3.0,155.0,False,True
1,1,1,35.0,0,0,26.2875,5.0,155.0,False,True
1,0,1,50.0,1,0,55.9,10.0,155.0,False,True
1,1,0,39.0,1,0,55.9,11.0,155.0,False,True
1,1,1,56.0,0,0,35.5,3.0,155.0,False,False
1,1,1,28.0,0,0,35.5,7.0,155.0,False,True
1,0,1,56.0,0,0,26.55,10.0,155.0,False,True
1,0,1,56.0,0,0,30.6958,10.0,155.0,False,False
1,0,1,24.0,1,0,60.0,10.0,155.0,False,True
1,0,1,28.0,0,0,26.0,10.0,155.0,False,True
1,1,0,18.0,1,0,60.0,6.0,155.0,False,True
1,1,1,24.0,1,0,82.2667,7.0,155.0,False,True
1,1,0,23.0,1,0,82.2667,7.0,155.0,False,True
1,1,1,6.0,0,2,134.5,3.0,155.0,False,False
1,1,1,45.0,1,1,134.5,3.0,155.0,False,False
1,1,0,40.0,1,1,134.5,3.0,155.0,False,False
1,0,1,57.0,1,0,146.5208,10.0,155.0,False,False
1,1,0,28.0,1,0,146.5208,6.0,155.0,False,False
1,1,1,32.0,0,0,30.5,3.0,155.0,False,False
1,0,1,62.0,0,0,26.55,10.0,155.0,False,True
1,1,1,54.0,1,0,55.4417,1.0,155.0,False,False
1,1,0,43.0,1,0,55.4417,5.0,155.0,False,False
1,1,0,52.0,1,0,78.2667,4.0,155.0,False,False
1,0,1,28.0,0,0,27.7208,10.0,155.0,False,False
1,1,0,62.0,0,0,80.0,6.0,155.0,False,False
1,0,1,67.0,1,0,221.7792,10.0,96.0,False,True
1,0,0,63.0,1,0,221.7792,10.0,155.0,False,True
1,0,1,61.0,0,0,32.3208,10.0,46.0,False,True
1,1,0,48.0,0,0,25.9292,8.0,155.0,False,True
1,1,0,18.0,0,2,79.65,8.0,155.0,False,True
1,0,1,52.0,1,1,79.65,10.0,155.0,False,True
1,1,0,39.0,1,1,79.65,8.0,155.0,False,True
1,1,1,48.0,1,0,52.0,10.0,155.0,False,True
1,1,0,28.0,1,0,52.0,10.0,155.0,False,True
1,0,1,49.0,1,1,110.8833,10.0,155.0,False,False
1,1,1,17.0,0,2,110.8833,10.0,155.0,False,False
1,1,0,39.0,1,1,110.8833,4.0,155.0,False,False
1,1,0,28.0,0,0,79.2,10.0,155.0,False,False
1,1,1,31.0,0,0,28.5375,7.0,155.0,False,False
1,0,1,40.0,0,0,27.7208,10.0,155.0,False,False
1,0,1,61.0,0,0,33.5,10.0,245.0,False,True
1,0,1,47.0,0,0,34.0208,10.0,155.0,False,True
1,1,0,35.0,0,0,512.3292,3.0,155.0,False,False
1,0,1,64.0,1,0,75.25,10.0,155.0,False,False
1,1,0,60.0,1,0,75.25,5.0,155.0,False,False
1,0,1,60.0,0,0,26.55,10.0,155.0,False,True
1,0,1,54.0,0,1,77.2875,10.0,155.0,False,True
1,0,1,21.0,0,1,77.2875,10.0,169.0,False,True
1,1,0,55.0,0,0,135.6333,8.0,155.0,False,False
1,1,0,31.0,0,2,164.8667,8.0,155.0,False,True
1,0,1,57.0,1,1,164.8667,10.0,155.0,False,True
1,1,0,45.0,1,1,164.8667,8.0,155.0,False,True
1,0,1,50.0,1,1,211.5,10.0,155.0,False,False
1,0,1,27.0,0,2,211.5,10.0,155.0,False,False
1,1,0,50.0,1,1,211.5,4.0,155.0,False,False
1,1,0,21.0,0,0,26.55,10.0,155.0,False,True
1,0,1,51.0,0,1,61.3792,10.0,155.0,False,False
1,1,1,21.0,0,1,61.3792,10.0,155.0,False,False
1,0,1,28.0,0,0,35.0,10.0,155.0,False,True
1,1,0,31.0,0,0,134.5,3.0,155.0,False,False
1,1,1,28.0,0,0,35.5,10.0,155.0,False,True
1,0,1,62.0,0,0,26.55,10.0,155.0,False,True
1,1,0,36.0,0,0,135.6333,8.0,155.0,False,False
2,0,1,30.0,1,0,24.0,10.0,155.0,False,False
2,1,0,28.0,1,0,24.0,10.0,155.0,False,False
2,0,1,30.0,0,0,13.0,10.0,155.0,False,True
2,0,1,18.0,0,0,11.5,10.0,155.0,False,True
2,0,1,25.0,0,0,10.5,10.0,155.0,False,True
2,0,1,34.0,1,0,26.0,10.0,155.0,False,True
2,1,0,36.0,1,0,26.0,11.0,155.0,False,True
2,0,1,57.0,0,0,13.0,10.0,155.0,False,True
2,0,1,18.0,0,0,11.5,10.0,155.0,False,True
2,0,1,23.0,0,0,10.5,10.0,155.0,False,True
2,1,0,36.0,0,0,13.0,10.0,155.0,False,True
2,0,1,28.0,0,0,10.5,10.0,155.0,False,True
2,0,1,51.0,0,0,12.525,10.0,174.0,False,True
2,1,1,32.0,1,0,26.0,13.0,155.0,False,True
2,1,0,19.0,1,0,26.0,13.0,155.0,False,True
2,0,1,28.0,0,0,26.0,10.0,155.0,False,True
2,1,1,1.0,2,1,39.0,11.0,155.0,False,True
2,1,0,4.0,2,1,39.0,11.0,155.0,False,True
2,1,0,12.0,2,1,39.0,13.0,155.0,False,True
2,1,0,36.0,0,3,39.0,11.0,155.0,False,True
2,1,1,34.0,0,0,13.0,13.0,155.0,False,True
2,1,0,19.0,0,0,13.0,12.0,155.0,False,True
2,0,1,23.0,0,0,13.0,10.0,155.0,False,True
2,0,1,26.0,0,0,13.0,10.0,155.0,False,True
2,0,1,42.0,0,0,13.0,10.0,155.0,False,True
2,0,1,27.0,0,0,13.0,10.0,155.0,False,True
2,1,0,24.0,0,0,13.0,11.0,155.0,False,True
2,1,0,15.0,0,2,39.0,14.0,155.0,False,True
2,0,1,60.0,1,1,39.0,10.0,155.0,False,True
2,1,0,40.0,1,1,39.0,14.0,155.0,False,True
2,1,0,20.0,1,0,26.0,12.0,155.0,False,True
2,0,1,25.0,1,0,26.0,10.0,155.0,False,True
2,1,0,36.0,0,0,13.0,9.0,155.0,False,True
2,0,1,25.0,0,0,13.0,10.0,97.0,False,True
2,0,1,42.0,0,0,13.0,10.0,155.0,False,True
2,1,0,42.0,0,0,13.0,10.0,155.0,False,True
2,1,1,0.8333,0,2,29.0,13.0,155.0,False,True
2,1,1,26.0,1,1,29.0,13.0,155.0,False,True
2,1,0,22.0,1,1,29.0,13.0,155.0,False,True
2,1,0,35.0,0,0,21.0,14.0,155.0,False,True
2,0,1,28.0,0,0,0.0,10.0,155.0,False,True
2,0,1,19.0,0,0,13.0,10.0,18.0,False,True
2,0,0,44.0,1,0,26.0,10.0,155.0,False,True
2,0,1,54.0,1,0,26.0,10.0,155.0,False,True
2,0,1,52.0,0,0,13.5,10.0,130.0,False,True
2,0,1,37.0,1,0,26.0,10.0,17.0,False,True
2,0,0,29.0,1,0,26.0,10.0,155.0,False,True
2,1,0,25.0,1,1,30.0,12.0,155.0,False,True
2,1,0,45.0,0,2,30.0,12.0,155.0,False,True
2,0,1,29.0,1,0,26.0,10.0,155.0,False,True
2,1,0,28.0,1,0,26.0,14.0,155.0,False,True
2,0,1,29.0,0,0,10.5,10.0,155.0,False,True
2,0,1,28.0,0,0,13.0,10.0,155.0,False,True
2,1,1,24.0,0,0,10.5,9.0,155.0,False,True
2,1,0,8.0,0,2,26.25,14.0,155.0,False,True
2,0,1,31.0,1,1,26.25,10.0,155.0,False,True
2,1,0,31.0,1,1,26.25,14.0,155.0,False,True
2,1,0,22.0,0,0,10.5,14.0,155.0,False,True
2,0,0,30.0,0,0,13.0,10.0,155.0,False,True
2,0,0,28.0,0,0,21.0,10.0,155.0,False,True
2,0,1,21.0,0,0,11.5,10.0,155.0,False,True
2,0,1,28.0,0,0,0.0,10.0,155.0,False,True
2,1,1,8.0,1,1,36.75,14.0,155.0,False,True
2,0,1,18.0,0,0,73.5,10.0,155.0,False,True
2,1,0,48.0,0,2,36.75,14.0,155.0,False,True
2,1,0,28.0,0,0,13.0,13.0,155.0,False,True
2,0,1,32.0,0,0,13.0,10.0,155.0,False,True
2,0,1,17.0,0,0,73.5,10.0,155.0,False,True
2,0,1,29.0,1,0,27.7208,10.0,295.0,False,False
2,1,0,24.0,1,0,27.7208,12.0,155.0,False,False
2,0,1,25.0,0,0,31.5,10.0,155.0,False,True
2,0,1,18.0,0,0,73.5,10.0,155.0,False,True
2,1,0,18.0,0,1,23.0,10.0,155.0,False,True
2,1,0,34.0,0,1,23.0,10.0,155.0,False,True
2,0,1,54.0,0,0,26.0,10.0,155.0,False,True
2,1,1,8.0,0,2,32.5,10.0,155.0,False,True
2,0,1,42.0,1,1,32.5,10.0,155.0,False,True
2,1,0,34.0,1,1,32.5,10.0,155.0,False,True
2,1,0,27.0,1,0,13.8583,12.0,155.0,False,False
2,1,0,30.0,1,0,13.8583,12.0,155.0,False,False
2,0,1,23.0,0,0,13.0,10.0,155.0,False,True
2,0,1,21.0,0,0,13.0,10.0,155.0,False,True
2,0,1,18.0,0,0,13.0,10.0,155.0,False,True
2,0,1,40.0,1,0,26.0,10.0,286.0,False,True
2,1,0,29.0,1,0,26.0,16.0,155.0,False,True
2,0,1,18.0,0,0,10.5,10.0,155.0,False,True
2,0,1,36.0,0,0,13.0,10.0,236.0,False,True
2,0,1,28.0,0,0,0.0,10.0,155.0,False,True
2,0,0,38.0,0,0,13.0,10.0,155.0,False,True
2,0,1,35.0,0,0,26.0,10.0,322.0,False,True
2,0,1,38.0,1,0,21.0,10.0,155.0,False,True
2,0,1,34.0,1,0,21.0,10.0,155.0,False,True
2,1,0,34.0,0,0,13.0,12.0,155.0,False,True
2,0,1,16.0,0,0,26.0,10.0,155.0,False,True
2,0,1,26.0,0,0,10.5,10.0,155.0,False,True
2,0,1,47.0,0,0,10.5,10.0,155.0,False,True
2,0,1,21.0,1,0,11.5,10.0,155.0,False,True
2,0,1,21.0,1,0,11.5,10.0,155.0,False,True
2,0,1,24.0,0,0,13.5,10.0,297.0,False,True
2,0,1,24.0,0,0,13.0,10.0,155.0,False,True
2,0,1,34.0,0,0,13.0,10.0,155.0,False,True
2,0,1,30.0,0,0,13.0,10.0,305.0,False,True
2,0,1,52.0,0,0,13.0,10.0,19.0,False,True
2,0,1,30.0,0,0,13.0,10.0,75.0,False,True
2,1,1,0.6667,1,1,14.5,4.0,155.0,False,True
2,1,0,24.0,0,2,14.5,4.0,155.0,False,True
2,0,1,44.0,0,0,13.0,10.0,35.0,False,True
2,1,0,6.0,0,1,33.0,11.0,155.0,False,True
2,0,1,28.0,0,1,33.0,10.0,155.0,False,True
2,1,1,62.0,0,0,10.5,15.0,155.0,False,True
2,0,1,30.0,0,0,10.5,10.0,155.0,False,True
2,1,0,7.0,0,2,26.25,14.0,155.0,False,True
2,0,1,43.0,1,1,26.25,10.0,155.0,False,True
2,1,0,45.0,1,1,26.25,14.0,155.0,False,True
2,1,0,24.0,1,2,65.0,9.0,155.0,False,True
2,1,0,24.0,1,2,65.0,9.0,155.0,False,True
2,0,1,49.0,1,2,65.0,10.0,155.0,False,True
2,1,0,48.0,1,2,65.0,9.0,155.0,False,True
2,1,0,55.0,0,0,16.0,13.0,155.0,False,True
2,0,1,24.0,2,0,73.5,10.0,155.0,False,True
2,0,1,32.0,2,0,73.5,10.0,256.0,False,True
2,0,1,21.0,2,0,73.5,10.0,155.0,False,True
2,0,0,18.0,1,1,13.0,10.0,155.0,False,True
2,1,0,20.0,2,1,23.0,4.0,155.0,False,True
2,0,1,23.0,2,1,11.5,10.0,155.0,False,True
2,0,1,36.0,0,0,13.0,10.0,155.0,False,True
2,1,0,54.0,1,3,23.0,4.0,155.0,False,True
2,0,1,50.0,0,0,13.0,10.0,149.0,False,True
2,0,1,44.0,1,0,26.0,10.0,155.0,False,True
2,1,0,29.0,1,0,26.0,10.0,155.0,False,True
2,0,1,21.0,0,0,73.5,10.0,155.0,False,True
2,1,1,42.0,0,0,13.0,10.0,155.0,False,True
2,0,1,63.0,1,0,26.0,10.0,155.0,False,True
2,0,0,60.0,1,0,26.0,10.0,155.0,False,True
2,0,1,33.0,0,0,12.275,10.0,155.0,False,True
2,1,0,17.0,0,0,10.5,10.0,155.0,False,True
